# 江苏天钧精密技术股份有限公司｜企业调研结构化日志
>【标签】企业名称：江苏天钧精密技术股份有限公司｜所属地区：江苏无锡｜所属产业链：新能源汽车零部件（江苏16大先进制造集群-新能源装备集群）
## 一、企业基础信息
1. 成立时间：2017年
2. 主营业务：专业研发、设计与制造新能源汽车零部件供应商；主营产品：方形锂电池电池包结构件、电池包铝合金箱体、PACK热管理系统、电控箱体、水冷电机壳体。
3. 企业资质：
- 国家级：高新技术企业、专精特新“小巨人”企业
- 省级：专精特新中小企业、省级企业技术中心
- 市级：无锡市创新型中小企业、市级企业技术中心
4. 纳税资质：增值税一般纳税人
5. 招投标业务：长期承接徐工工程机械研究院电池箱体工装、FSW工装采购项目；自主落地新能源汽车电池箱体制造项目，具备电池箱体产线施工、制造交付能力。

## 二、知识产权（专利信息）
1. 专利发布时间线：2018年起开始申请专利；2022年专利数量达到峰值21件，后续持续稳定产出，2025年20件、2026年19件。
2. 专利方向（核心赛道）：电池箱体、电池散热、电池包焊接工艺、精密机器人铝箱体弧焊生产线、电池箱制造方法，覆盖电池包结构设计、热管理、焊接制造工艺。
3. 专利类型：发明专利+实用新型专利，聚焦新能源电池箱体精密制造工艺。
> 典型专利清单：
- 一种边框组件及包含该组件的电池箱体、用电装置（实用新型）
- 一种逐级导向自锁快速换电电池箱体（发明专利）
- 一种焊接仿真中计算焊接有效热输入的方法（发明专利）
- 一种用于精密机器人铝箱体的弧焊生产线及弧焊方法（发明专利）

## 三、企业发展与经营情况
1. 融资状态：尚未获得融资，属于依靠自有资金发展的专精特新中小制造企业。
2. 核心赛道：新能源汽车电池结构件、PACK热管理精密加工。
3. 行业竞品：蜂巢能源、草鑫新能源、加拉泰克、艾威尔、清优材料等国内动力电池及电池结构件厂商。
4. 业务特点：面向工程机械、新能源汽车领域做电池箱体精密加工，有自主产线建设经验，承接外部企业工装定制项目。

## 四、基于本企业调研信息推导【企业潜在痛点】（给你的inAgent领域专家做参考）
> （你导入知识库后，新建的智能制造领域专家就可以读取这段，也可以让智能体自动推导）
1. 产线痛点：电池箱体弧焊、焊接工艺多，人工质检焊缝缺陷难度大，焊接质量依赖老师傅经验，缺少自动化质检手段；
2. 工艺痛点：专利多、工艺版本迭代快，大量工艺手册、焊接参数分散，工艺知识沉淀困难，新员工上手周期长；
3. 设备运维痛点：精密焊接、加工设备种类多，设备台账、故障维修经验缺少数字化管理，设备异常发现滞后；
4. 生产管理痛点：订单为定制化工装+电池箱体，多品种小批量生产，生产数据、质检数据分散，数据孤岛，缺少统一的产线数据监控与自动报表；
5. 行业竞争痛点：国内同赛道竞品众多，需要持续优化生产良率、降低制造成本，提升产线数字化水平。

## 五、配套补充（用于知识库，贴合智能制造大赛）
> 该企业属于江苏新能源装备制造集群，产线类型：金属精密加工、电池箱体焊接装配产线；核心生产资料：焊接工艺文档、电池箱体质检标准、加工设备运维手册。
